,Composition,VEC,Electronegativity_Difference,Atomic_Radius_Diff,Mixing_Enthalpy,Mixing_Entropy,E/A,EWF,Mod_Mismatch,DeltaG,ShearModG,Tm,Ec,Cond__AC,Cond__AM,Cond__HM,Cond__PM,Cond__WR,Li,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Ni,Co,Cu,Zn,Zr,Nb,Mo,Sn,Hf,Ta,W,HV
137,Al0.154 Co0.154 Cr0.154 Fe0.154 Ni0.385 ,7.846153846153847,0.1194761742483318,5.25287039992023,-11.692307692307699,12.632849580565422,1.370769230769231,12125.129723181744,-0.05840800657631549,0.11060954716474061,75.0769230769231,1685.269230769231,4.193846153846154,1,0,0,0,0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.3846153846153847,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0
138,Al0.154 Co0.154 Cr0.154 Fe0.308 Mo0.077 Ni0.154 ,7.230769230769231,0.14637230636635443,5.508115626971741,-9.70414201183432,14.233071497971736,1.3715384615384616,10119.259733867733,-0.09217679043634806,0.16586693436976177,71.69230769230771,1787.4230769230771,4.352307692307693,1,0,0,0,0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,639.0
139,Al0.154 Co0.154 Cr0.308 Cu0.077 Fe0.154 Ni0.154 ,7.3076923076923075,0.11996547826908938,5.1830718402797995,-7.195266272189352,14.233071497971736,1.3215384615384618,10169.575004514792,-0.08026481494147099,0.1461057343380109,78.92307692307693,1719.0846153846155,4.068461538461538,1,0,0,0,0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0
140,Al0.154 Co0.308 Cr0.154 Cu0.077 Fe0.154 Ni0.154 ,7.769230769230769,0.1153179294475538,5.171583545984192,-7.66863905325444,14.233071497971736,1.3384615384615386,11220.552660048608,-0.06588886613212656,0.12734379539532198,72.76923076923077,1663.392307692308,4.113076923076923,1,0,0,0,0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0
141,Al0.154 Co0.308 Cr0.154 Fe0.154 Mo0.077 Ni0.154 ,7.384615384615385,0.14824016975500967,5.436637095972318,-10.698224852071007,14.233071497971736,1.3684615384615386,11165.938247439695,-0.0918024359838264,0.16779159012915262,70.61538461538461,1781.269230769231,4.36923076923077,1,0,0,0,0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,586.0
142,Al0.158 Co0.211 Cr0.211 Fe0.211 Ni0.211 ,7.4221556886227535,0.11718796436475974,5.298115324902277,-10.895458583830342,13.332302280519091,1.3506387225548901,10882.487107928355,-0.06446677923639621,0.12030777052596789,77.3812375249501,1712.1811377245508,4.158612774451098,0,0,1,0,0,0.0,0.0,0.15768463073852296,0.0,0.0,0.0,0.0,0.21057884231536925,0.0,0.21057884231536925,0.21057884231536925,0.21057884231536925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0
143,Al0.158 Co0.211 Cr0.211 Fe0.211 Ni0.211 ,7.4221556886227535,0.11718796436475974,5.298115324902277,-10.895458583830342,13.332302280519091,1.3506387225548901,10882.487107928355,-0.06446677923639621,0.12030777052596789,77.3812375249501,1712.1811377245508,4.158612774451098,0,0,0,0,1,0.0,0.0,0.15768463073852296,0.0,0.0,0.0,0.0,0.21057884231536925,0.0,0.21057884231536925,0.21057884231536925,0.21057884231536925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0
144,Al0.158 Co0.211 Cr0.211 Fe0.211 Ni0.211 ,7.4221556886227535,0.11718796436475974,5.298115324902277,-10.895458583830342,13.332302280519091,1.3506387225548901,10882.487107928355,-0.06446677923639621,0.12030777052596789,77.3812375249501,1712.1811377245508,4.158612774451098,1,0,0,0,0,0.0,0.0,0.15768463073852296,0.0,0.0,0.0,0.0,0.21057884231536925,0.0,0.21057884231536925,0.21057884231536925,0.21057884231536925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0
145,Al0.158 Mo0.211 Nb0.211 Ti0.211 V0.211 ,4.684630738522954,0.2327882374275119,3.8636539568433084,-11.115704718307894,13.332302280519091,1.474880239520958,6929.528844828462,-0.04272908989857667,0.0867677281659977,35.47604790419161,2197.9865269461075,5.704261477045908,1,0,0,0,0,0.0,0.0,0.15768463073852296,0.0,0.0,0.21057884231536925,0.21057884231536925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21057884231536925,0.21057884231536925,0.0,0.0,0.0,0.0,517.0
146,Al0.160 Co0.168 Cr0.168 Fe0.168 Mn0.168 Ni0.168 ,7.200000000000001,0.13911045395655924,5.511140559116789,-11.644416,14.896171389992649,1.35688,9361.172277446278,-0.06100183025530023,0.11549663503738557,75.72800000000001,1652.752,3.92424,1,0,0,0,0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.168,0.168,0.168,0.168,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0
147,Al0.167 Co0.167 Cr0.167 Cu0.083 Fe0.167 Ni0.250 ,7.747252747252749,0.11983637396963863,5.354015496999267,-8.296654394556496,14.533402885752873,1.3752947052947055,11078.312806310736,-0.07087370729190234,0.13839014314899442,72.67732267732269,1651.284265734266,4.094295704295705,1,0,0,0,0,0.0,0.0,0.16683316683316687,0.0,0.0,0.0,0.0,0.16683316683316687,0.0,0.16683316683316687,0.2497502497502498,0.16683316683316687,0.08291708291708293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0
148,Al0.167 Co0.167 Cr0.167 Cu0.083 Fe0.250 Ni0.167 ,7.581418581418583,0.11565303875656431,5.372962991919258,-7.163813209767259,14.533402885752873,1.3661738261738265,10340.881190772434,-0.07099414618253605,0.13764344203947745,73.17482517482519,1658.083466533467,4.081028971028972,1,0,0,0,0,0.0,0.0,0.16683316683316687,0.0,0.0,0.0,0.0,0.16683316683316687,0.0,0.2497502497502498,0.16683316683316687,0.16683316683316687,0.08291708291708293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0
149,Al0.167 Co0.167 Cr0.167 Cu0.167 Fe0.167 Ni0.167 ,7.833333333333335,0.11908213785264163,5.281130599285357,-4.777777777777779,14.89751619921278,1.3616666666666668,10506.912570445833,-0.077554596161637,0.1566451786797241,70.33333333333334,1620.4750000000001,4.015000000000001,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0
150,Al0.167 Co0.167 Cr0.167 Fe0.167 Mn0.167 Ni0.167 ,7.166666666666668,0.13904435743076138,5.565817631572233,-11.888888888888891,14.89751619921278,1.37,9331.033874621677,-0.06243048904100063,0.11921450387657608,75.33333333333334,1647.0416666666672,3.920000000000001,0,0,0,1,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0
151,Al0.167 Co0.167 Cr0.167 Fe0.167 Mo0.083 Ni0.250 ,7.332667332667334,0.1544453386198321,5.61090754584834,-11.531828810550094,14.533402885752873,1.4076323676323679,11020.074778359065,-0.09885397880423252,0.18286736294619008,70.35564435564436,1778.346403596404,4.370409590409591,1,0,0,0,0,0.0,0.0,0.16683316683316687,0.0,0.0,0.0,0.0,0.16683316683316687,0.0,0.16683316683316687,0.2497502497502498,0.16683316683316687,0.0,0.0,0.0,0.0,0.08291708291708293,0.0,0.0,0.0,0.0,586.0
152,Al0.167 Co0.167 Cr0.167 Fe0.167 Ni0.167 Ti0.167 ,6.666666666666668,0.14135259302734968,7.220787900363843,-21.55555555555556,14.89751619921278,1.385,9808.650687120988,-0.08197248461383913,0.16625077264714633,69.66666666666667,1716.3750000000005,4.241666666666667,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.16666666666666669,0.0,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0
153,Al0.167 Co0.167 Cr0.167 Fe0.167 Ni0.167 V0.167 ,6.833333333333334,0.12310790208412925,5.334355642228096,-14.888888888888891,14.89751619921278,1.3450000000000002,9745.221510812491,-0.07859106117181126,0.15893049576565244,70.16666666666667,1756.7083333333337,4.318333333333334,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0
154,Al0.167 Co0.167 Cr0.167 Fe0.167 Ni0.333 ,7.664335664335663,0.12056430715567511,5.415977922427735,-12.003321353970705,12.980297503474127,1.3885614385614384,11674.936372104446,-0.06271879765781564,0.12018222243788262,74.99900099900098,1681.8309190809189,4.1730669330669325,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.16683316683316682,0.0,0.16683316683316682,0.33266733266733267,0.16683316683316682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0
155,Al0.167 Co0.167 Cr0.167 Fe0.250 Mo0.083 Ni0.167 ,7.166833166833168,0.15216517854829065,5.632097365205991,-10.508991507992512,14.533402885752873,1.3985114885114887,10285.893486156274,-0.09906594353429521,0.18197235719231983,70.85314685314687,1785.1456043956048,4.3571428571428585,1,0,0,0,0,0.0,0.0,0.16683316683316687,0.0,0.0,0.0,0.0,0.16683316683316687,0.0,0.2497502497502498,0.16683316683316687,0.16683316683316687,0.0,0.0,0.0,0.0,0.08291708291708293,0.0,0.0,0.0,0.0,635.0
156,Al0.167 Co0.167 Cr0.167 Fe0.333 Ni0.167 ,7.332667332667332,0.1118011069956892,5.450958715048215,-10.232656454434677,12.980297503474128,1.3703196803196802,10176.648853297824,-0.06249495113701788,0.11826293782084332,75.99400599400599,1695.4293206793204,4.146533466533467,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.16683316683316682,0.0,0.33266733266733267,0.16683316683316682,0.16683316683316682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0
157,Al0.167 Co0.167 Cr0.250 Cu0.083 Fe0.167 Ni0.167 ,7.415584415584416,0.12047406312658193,5.343667949536307,-7.578647127098674,14.53340288575287,1.355394605394605,10340.88119077241,-0.07947600919905949,0.15065092464804333,75.91108891108891,1684.7827672327671,4.066103896103896,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.24975024975024973,0.0,0.16683316683316682,0.16683316683316682,0.16683316683316682,0.08291708291708291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0
158,Al0.167 Co0.167 Cr0.333 Fe0.167 Ni0.167 ,7.000999000999001,0.11853938576043448,5.396806838232691,-11.00732234798169,12.980297503474128,1.3487612387612387,10176.648853297824,-0.07522569010094945,0.13551113503133125,81.46653346653346,1748.8279220779218,4.116683316683317,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.33266733266733267,0.0,0.16683316683316682,0.16683316683316682,0.16683316683316682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0
159,Al0.167 Co0.167 Cu0.167 Fe0.167 Nd0.167 Ni0.167 ,7.333333333333334,0.27516156869898983,10.855644854065732,-15.777777777777782,14.89751619921278,,7905.98404850048,-0.1189261370010431,0.22847913811116757,53.83333333333333,1480.3083333333336,3.8983333333333343,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0
160,Al0.167 Co0.167 Cu0.167 Fe0.167 Ni0.167 Si0.167 ,7.500000000000001,0.10542243067245641,6.581882864455207,-20.44444444444445,14.89751619921278,1.8750000000000002,11317.582157414725,-0.05220377783835724,0.09964670295985227,61.41666666666667,1545.9750000000001,4.103333333333334,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0
161,Al0.167 Co0.167 Cu0.167 Fe0.167 Ni0.167 Ti0.167 ,7.500000000000001,0.14735633304642481,6.98876104226814,-16.888888888888893,14.89751619921278,1.3983333333333334,10130.981367764542,-0.061824657015861276,0.12211751527990844,58.50000000000001,1587.6416666666669,4.140000000000001,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0
162,Al0.167 Co0.167 Cu0.167 Fe0.167 Ni0.167 Zr0.167 ,7.500000000000001,0.21100289624131277,9.999251652855078,-23.888888888888896,14.89751619921278,1.4566666666666668,9536.253936938467,-0.07607065484354969,0.1519377162629758,56.66666666666667,1619.6416666666669,4.373333333333334,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,472.0
163,Al0.167 Co0.167 Cu0.167 Fe0.167 Ni0.333 ,8.498501498501499,0.10648828738197241,5.305084683646747,-5.887327457757028,12.980297503474127,1.4019080919080917,12047.852092017414,-0.053813664899522724,0.09961085949662438,63.82117882117882,1552.9689810189807,4.071298701298701,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.0,0.0,0.16683316683316682,0.33266733266733267,0.16683316683316682,0.16683316683316682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.2
164,Al0.167 Co0.185 Cr0.185 Fe0.185 Ni0.185 Ti0.093 ,6.978,0.13356821440747044,6.653039682615579,-17.56652,14.703754142419736,1.3782899999999998,10243.003785737534,-0.07662986124052541,0.14915682991998863,72.814,1710.54175,4.20103,1,0,0,0,0,0.0,0.0,0.167,0.0,0.0,0.093,0.0,0.185,0.0,0.185,0.185,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0
165,Al0.167 Co0.208 Cr0.208 Cu0.208 Fe0.208 ,7.580580580580582,0.11585429734891235,5.2436168398943,-1.3730487244000762,13.352338461540187,1.3360060060060062,9456.497830604825,-0.08625074948431846,0.17475522622076883,70.97297297297298,1626.7082582582584,3.952162162162163,1,0,0,0,0,0.0,0.0,0.1671671671671672,0.0,0.0,0.0,0.0,0.20820820820820823,0.0,0.20820820820820823,0.0,0.20820820820820823,0.20820820820820823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0
166,Al0.167 Co0.208 Cr0.208 Fe0.208 Ni0.208 ,7.372372372372373,0.11801140052816328,5.416441662786137,-11.232822412001594,13.352338461540187,1.3693193193193194,10815.907365177738,-0.066568647754949,0.125733724515866,76.80280280280282,1703.4121621621625,4.149959959959961,1,0,0,0,0,0.0,0.0,0.1671671671671672,0.0,0.0,0.0,0.0,0.20820820820820823,0.0,0.20820820820820823,0.20820820820820823,0.20820820820820823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0
167,Al0.167 Co0.250 Cr0.167 Cu0.083 Fe0.167 Ni0.167 ,7.664335664335664,0.11780182334566505,5.337197212895642,-7.854319506667159,14.53340288575287,1.3645154845154843,10904.363882074826,-0.07091404251092445,0.13861633286634661,72.59440559440559,1654.766783216783,4.090149850149849,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.16683316683316682,0.0,0.16683316683316682,0.16683316683316682,0.24975024975024973,0.08291708291708291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0
168,Al0.167 Co0.250 Cr0.167 Fe0.167 Mo0.083 Ni0.167 ,7.2497502497502495,0.153222483545799,5.591715098669228,-11.089493922660758,14.53340288575287,1.3968531468531467,10846.88922313427,-0.098878453232836,0.18312501233330178,70.27272727272727,1781.8289210789208,4.366263736263735,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.16683316683316682,0.0,0.16683316683316682,0.16683316683316682,0.24975024975024973,0.0,0.0,0.0,0.0,0.08291708291708291,0.0,0.0,0.0,0.0,741.0
169,Al0.167 Co0.333 Cr0.167 Fe0.167 Ni0.167 ,7.498501498501499,0.11646739084004878,5.384790433669316,-11.228655460423692,12.980297503474128,1.3670029970029969,11313.836451095724,-0.06286934519912939,0.12068088939210012,74.83316683316683,1688.7959540459537,4.164775224775225,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.16683316683316682,0.0,0.16683316683316682,0.16683316683316682,0.33266733266733267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0
170,Al0.167 Co0.333 Cu0.167 Fe0.167 Ni0.167 ,8.332667332667333,0.1037644251229768,5.2689919690410845,-5.223328120431017,12.980297503474128,1.3803496503496502,11677.14042168447,-0.05345903367938876,0.09916781286707303,63.65534465534465,1559.9340159840158,4.063006993006994,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.0,0.0,0.16683316683316682,0.16683316683316682,0.33266733266733267,0.16683316683316682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0
171,Al0.167 Cr0.167 Cu0.167 Fe0.167 Ni0.333 ,7.998001998001998,0.12298760738751935,5.318770835107009,-5.771327573525375,12.980297503474127,1.3835564435564436,10842.053528507979,-0.07773116820454617,0.15642071711686414,70.49450549450549,1613.3625874125871,4.022917082917083,1,0,0,0,0,0.0,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.16683316683316682,0.0,0.16683316683316682,0.33266733266733267,0.0,0.16683316683316682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0
172,Al0.167 Cr0.208 Fe0.208 Mn0.208 Ni0.208 ,6.9559559559559565,0.13715166768697595,5.6093547553116085,-11.406225043862685,13.352338461540187,1.3734834834834837,8474.33043477901,-0.06581403494406703,0.12358508362621061,77.42742742742745,1651.1519019019022,3.8438938938938945,1,0,0,0,0,0.0,0.0,0.1671671671671672,0.0,0.0,0.0,0.0,0.20820820820820823,0.20820820820820823,0.20820820820820823,0.20820820820820823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0
173,Al0.167 Fe0.167 Ni0.167 Ti0.167 V0.167 Zr0.167 ,5.666666666666667,0.1897732565165305,9.35408527371235,-31.33333333333334,14.89751619921278,1.4583333333333333,7609.598535249921,-0.07698181698226321,0.1644037780401417,51.333333333333336,1783.3750000000002,4.753333333333334,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,800.0
174,Al0.167 Hf0.167 Nb0.167 Ta0.167 Ti0.167 Zr0.167 ,4.166666666666667,0.12261049438499683,4.9027725365561805,-14.777777777777784,14.89751619921278,1.715,5372.454845036254,-0.0541081188793025,0.12562499999999996,40.00000000000001,2250.2083333333335,6.1000000000000005,1,0,0,0,0,0.0,0.0,0.16666666666666669,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,441.0
175,Al0.172 Co0.172 Cr0.172 Fe0.172 Ni0.172 V0.138 ,6.895791583166333,0.1230284856816637,5.414213090617499,-14.581949470082453,14.87218592264595,1.3601603206412824,9884.689233700421,-0.07834089554092921,0.15695394038782015,70.9559118236473,1742.4579158316633,4.2845490981963925,1,0,0,0,0,0.0,0.0,0.17234468937875752,0.0,0.0,0.0,0.13827655310621245,0.17234468937875752,0.0,0.17234468937875752,0.17234468937875752,0.17234468937875752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0
176,Al0.175 Co0.075 Cr0.250 Fe0.250 Ni0.250 ,7.199999999999999,0.11918446836731703,5.538425886662187,-11.397499999999999,12.796043946894637,1.3865,10260.159952624641,-0.0713269846473742,0.13347645900437252,78.425,1711.91875,4.1275,0,0,0,1,0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0
177,Al0.179 Co0.205 Cr0.205 Fe0.205 Ni0.205 ,7.3093093093093096,0.1189984794675674,5.5569437943624855,-11.64513863212562,13.370036088298063,1.392982982982983,10732.055082036073,-0.0691375262183896,0.13265913960519235,76.07007007007007,1692.3040540540542,4.138998998998999,0,0,1,0,0,0.0,0.0,0.1791791791791792,0.0,0.0,0.0,0.0,0.20520520520520522,0.0,0.20520520520520522,0.20520520520520522,0.20520520520520522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0
178,Al0.179 Co0.205 Cr0.205 Fe0.205 Ni0.205 ,7.3093093093093096,0.1189984794675674,5.5569437943624855,-11.64513863212562,13.370036088298063,1.392982982982983,10732.055082036073,-0.0691375262183896,0.13265913960519235,76.07007007007007,1692.3040540540542,4.138998998998999,0,0,0,0,1,0.0,0.0,0.1791791791791792,0.0,0.0,0.0,0.0,0.20520520520520522,0.0,0.20520520520520522,0.20520520520520522,0.20520520520520522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0
179,Al0.179 Co0.205 Cr0.205 Fe0.205 Ni0.205 ,7.3093093093093096,0.1189984794675674,5.5569437943624855,-11.64513863212562,13.370036088298063,1.392982982982983,10732.055082036073,-0.0691375262183896,0.13265913960519235,76.07007007007007,1692.3040540540542,4.138998998998999,1,0,0,0,0,0.0,0.0,0.1791791791791792,0.0,0.0,0.0,0.0,0.20520520520520522,0.0,0.20520520520520522,0.20520520520520522,0.20520520520520522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0
180,Al0.180 Co0.300 Cr0.100 Fe0.100 Mo0.010 Ni0.310 ,7.799999999999999,0.12346153247064443,5.561280021270683,-12.473199999999999,12.80003959839075,1.4213,12429.138553205185,-0.06297672164404289,0.12196978538878962,70.64,1656.145,4.2098,1,0,0,0,0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.31,0.3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,357.3
181,Al0.180 Co0.300 Cr0.100 Fe0.100 Mo0.020 Ni0.300 ,7.76,0.1277849756426787,5.584231734969169,-12.463999999999997,13.05208316551501,1.4236,12344.160356409873,-0.06744609856185091,0.12902605763015787,70.08,1667.7849999999999,4.2336,1,0,0,0,0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,362.6
182,Al0.180 Co0.300 Cr0.100 Fe0.100 Mo0.030 Ni0.290 ,7.719999999999999,0.13191948301899908,5.605521458519207,-12.449199999999996,13.2578494632037,1.4259000000000002,12259.666876600153,-0.0717953165313018,0.13616500322447792,69.52000000000001,1679.425,4.2574000000000005,1,0,0,0,0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.29,0.3,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,359.7
183,Al0.180 Co0.300 Cr0.100 Fe0.100 Ni0.320 ,7.84,0.11892854997854799,5.536637049639624,-12.476799999999999,12.430050562119492,1.419,12514.603688994019,-0.05838317653213783,0.114994950132559,71.2,1644.505,4.186,1,0,0,0,0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.32,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.4
184,Al0.182 Co0.091 Cr0.182 Cu0.182 Fe0.182 Ni0.182 ,7.727272727272728,0.12168921259836432,5.44803374047901,-4.495867768595043,14.697985763189829,1.3918181818181818,10121.085738235897,-0.08417492059061607,0.17252405890817962,69.9090909090909,1607.0636363636363,3.9809090909090914,1,0,0,0,0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0
185,Al0.182 Co0.182 Cr0.091 Cu0.182 Fe0.182 Ni0.182 ,8.0,0.11649850139141821,5.440028563059257,-5.024793388429752,14.69798576318983,1.4018181818181819,10729.273105656097,-0.07122563490542547,0.14741805769596247,66.27272727272727,1574.1545454545453,4.007272727272728,1,0,0,0,0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0
186,Al0.182 Co0.182 Cr0.182 Cu0.182 Fe0.091 Ni0.182 ,7.818181818181818,0.12397680401544592,5.403500868348796,-5.553719008264462,14.69798576318983,1.3900000000000001,10729.273105656097,-0.08386745420910291,0.1733454578020268,69.27272727272727,1603.4272727272726,3.990909090909091,1,0,0,0,0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0
187,Al0.182 Co0.182 Cr0.182 Cu0.182 Fe0.182 Ni0.091 ,7.636363636363636,0.1193023799060172,5.427178557626259,-3.9008264462809925,14.69798576318983,1.3800000000000001,9944.336924618989,-0.08419631197800335,0.17276340060763892,69.81818181818181,1610.8818181818183,3.976363636363637,1,0,0,0,0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0
188,Al0.182 Co0.182 Cr0.182 Fe0.182 Mo0.091 Ni0.182 ,7.09090909090909,0.15897918154679644,5.755162636265626,-11.438016528925619,14.69798576318983,1.4300000000000002,10482.44470796102,-0.1074356607186286,0.20200602213541663,69.81818181818183,1783.6818181818182,4.365454545454546,1,0,0,0,0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,755.0
