,Alloy,Condition,HV,Ref,Ref_sec,Keep_y_or_n,DOI,DOI_sec
69,Al0.080Co0.170Cr0.170Cu0.080Fe0.170Ni0.330,HM,328.0,8,201.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.ultramic.2015.06.009
70,Al0.080Co0.170Cr0.170Cu0.080Fe0.170Ni0.330,HM,206.0,8,167.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matchar.2018.06.036
71,Al0.080Hf0.120Nb0.200Ta0.200Ti0.200Zr0.200,AC,500.0,1,52.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11837-014-1066-0
72,Al0.080Hf0.120Nb0.200Ta0.200Ti0.200Zr0.200,OTHER,500.0,8,39.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11837-014-1066-0
73,Al0.082B0.098Co0.164Cr0.164Cu0.164Fe0.164Ni0.164,AC,505.0,1,36.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1149/1.2744133
74,Al0.082Co0.164Cr0.164Cu0.164Fe0.164Ni0.164Ti0.098,AC,458.0,1,37.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
75,Al0.082Co0.164Cr0.164Cu0.164Fe0.164Ni0.164V0.098,AC,328.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
76,Al0.085Co0.169Cr0.169Cu0.169Fe0.169Ni0.169Ti0.068,AC,321.0,1,37.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
77,Al0.085Co0.169Cr0.169Cu0.169Fe0.169Ni0.169V0.068,AC,231.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
78,Al0.085Co0.169Cr0.169Fe0.169Mn0.169Ni0.169Ta0.068,,486.0,8,257.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.4028/www.scientific.net/MSF.846.13
79,Al0.086Co0.229Cr0.229Fe0.229Ni0.229,AC,131.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
80,Al0.086Co0.229Cr0.229Fe0.229Ni0.229,HM,196.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
81,Al0.086Co0.229Cr0.229Fe0.229Ni0.229,WR,360.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
82,Al0.086Co0.229Cr0.229Fe0.229Ni0.229,HM,131.0,8,54.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2009.08.090
83,Al0.088B0.035Co0.175Cr0.175Cu0.175Fe0.175Ni0.175,AC,415.0,1,36.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1149/1.2744133
84,Al0.088Co0.175Cr0.175Cu0.175Fe0.175Ni0.175Ti0.035,AC,272.0,1,37.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
85,Al0.088Co0.175Cr0.175Cu0.175Fe0.175Ni0.175V0.035,AC,204.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
